"PAGE TITLE","PAGE URL","LINK TEXT","LINK URL","TARGET TITLE"
"VA.gov: VA.gov","/404","Skip to Content","#content","Skip to Content"
"VA.gov: VA.gov","/404","update your browser","https://whatbrowser.org/","External Link"
"VA.gov: VA.gov","/404","/img/header-logo.png","/","VA.gov"
"VA.gov: VA.gov","/404","How do I apply for health care?","/health-care/how-to-apply/","How to Apply for VA Health Care: VA.gov"
"VA.gov: VA.gov","/404","How do I apply for disability benefits?","/disability/how-to-file-claim/","How to Apply for Disability Benefits: VA.gov"
"VA.gov: VA.gov","/404","How do I apply for education benefits?","/education/how-to-apply/","How to Apply for Education Benefits: VA.gov"
"VA.gov: VA.gov","/404","Find nearby VA locations","/facilities/","Facility Locator: VA.gov"
"VA.gov: VA.gov","/404","View education benefits available by school","/gi-bill-comparison-tool","GI Bill Comparison Tool: VA.gov"
"VA.gov: VA.gov","/404","Contact the Veterans Crisis Line","https://www.veteranscrisisline.net/","External Link"
"VA.gov isn't working right now: VA.gov","/503","image/png:base64","/","VA.gov"
"VA.gov isn't working right now: VA.gov","/503","Talk to someone right now","https://www.veteranscrisisline.net/","External Link"
"Your VA.gov Account: VA.gov","/account","Skip to Content","#content","Skip to Content"
"Your VA.gov Account: VA.gov","/account","update your browser","https://whatbrowser.org/","External Link"
"Your VA.gov Account: VA.gov","/account","/img/header-logo.png","/","VA.gov"
"Your VA.gov Account: VA.gov","/account","Home","/","VA.gov"
"Your VA.gov Account: VA.gov","/account","Your Account Settings","/account/","Your VA.gov Account: VA.gov"
"Analytics Opt-Out: VA.gov","/analytics-opt-out","Skip to Content","#content","Skip to Content"
"Analytics Opt-Out: VA.gov","/analytics-opt-out","update your browser","https://whatbrowser.org/","External Link"
"Analytics Opt-Out: VA.gov","/analytics-opt-out","/img/header-logo.png","/","VA.gov"
"Auth: VA.gov","/auth/login/callback","Skip to Content","#content","Skip to Content"
"Auth: VA.gov","/auth/login/callback","update your browser","https://whatbrowser.org/","External Link"
"Auth: VA.gov","/auth/login/callback","/img/header-logo.png","/","VA.gov"
"Try Our New Beta Tools: VA.gov","/beta-enrollment/claim-increase","Skip to Content","#content","Skip to Content"
"Try Our New Beta Tools: VA.gov","/beta-enrollment/claim-increase","update your browser","https://whatbrowser.org/","External Link"
"Try Our New Beta Tools: VA.gov","/beta-enrollment/claim-increase","/img/header-logo.png","/","VA.gov"
"Try Our New Beta Tools: VA.gov","/beta-enrollment/claim-increase","Home","/","VA.gov"
"Apply for Burial Benefits (VA Form 21P-530): VA.gov","/burials-and-memorials/application/530","Skip to Content","#content","Skip to Content"
"Apply for Burial Benefits (VA Form 21P-530): VA.gov","/burials-and-memorials/application/530","update your browser","https://whatbrowser.org/","External Link"
"Apply for Burial Benefits (VA Form 21P-530): VA.gov","/burials-and-memorials/application/530","/img/header-logo.png","/","VA.gov"
"Apply for Burial Benefits (VA Form 21P-530): VA.gov","/burials-and-memorials/application/530","Home","/","VA.gov"
"Apply for Burial Benefits (VA Form 21P-530): VA.gov","/burials-and-memorials/application/530","Burials and Memorials","/burials-memorials/","VA Burial Benefits and Memorial Items: VA.gov"
"Apply for Burial Benefits (VA Form 21P-530): VA.gov","/burials-and-memorials/application/530","Survivors and Dependents","/burials-memorials/dependency-indemnity-compensation/","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Apply for Burial Benefits (VA Form 21P-530): VA.gov","/burials-and-memorials/application/530","Handling Burial Costs (Allowances)","/burials-memorials/veterans-burial-allowance/","How to Apply for a Veterans Burial Allowance: VA.gov"
"Page Moved","/burials-and-memorials/bereavement-counseling","/burials-memorials/bereavement-counseling/","/burials-memorials/bereavement-counseling/","Bereavement Counseling: VA.gov"
